,Value
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Nandan M. Nilekani', 'age': 68, 'title': 'Co-Founder & Chairman', 'yearBorn': 1956, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Salil Satish Parekh', 'age': 60, 'title': 'MD, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2024, 'totalPay': 282243787, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Inderpreet  Sawhney', 'age': 59, 'title': 'Executive VP, Chief Legal Officer & Chief Compliance Officer', 'yearBorn': 1965, 'fiscalYear': 2024, 'totalPay': 93306647, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Shaji  Mathew', 'age': 53, 'title': 'Chief Human Resources Officer', 'yearBorn': 1971, 'fiscalYear': 2024, 'totalPay': 21947115, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jayesh  Sanghrajka', 'age': 50, 'title': 'Chief Financial Officer', 'yearBorn': 1974, 'fiscalYear': 2024, 'totalPay': 15394187, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Anand  Swaminathan', 'title': 'Executive VP and Segment Head of Communication, Media & Technology', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sandeep  Mahindroo', 'age': 47, 'title': 'VP, Financial Controller & Head of Investor Relations', 'yearBorn': 1977, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sumit  Virmani', 'title': 'Executive VP & Chief Marketing Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Srikantan  Moorthy', 'age': 62, 'title': 'Executive VP, Head of US operation and Global Head of Education, Training & Assessment', 'yearBorn': 1962, 'fiscalYear': 2024, 'totalPay': 56637372, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Narsimha Rao Mannepalli', 'age': 56, 'title': 'Head, Global Services \x96 Cloud, Infra. & Security Solutions & Independent Validation Solutions & EVP', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,7
boardRisk,5
compensationRisk,4
shareHolderRightsRisk,1
overallRisk,3
governanceEpochDate,1740787200
compensationAsOfEpochDate,1735603200
irWebsite,http://www.infosys.com/investors/pages/index.aspx
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,1592.55
open,1597.95
dayLow,1572.7
dayHigh,1607.1
regularMarketPreviousClose,1592.55
regularMarketOpen,1597.95
regularMarketDayLow,1572.7
regularMarketDayHigh,1607.1
dividendRate,41.0
dividendYield,2.57
exDividendDate,1730160000
payoutRatio,0.62
fiveYearAvgDividendYield,2.12
beta,0.621
trailingPE,23.36781
forwardPE,22.023645
volume,8856572
regularMarketVolume,8856572
averageVolume,6328197
averageVolume10days,8344182
averageDailyVolume10Day,8344182
bid,0.0
ask,0.0
bidSize,0
askSize,0
marketCap,6598890618880
fiftyTwoWeekLow,1358.35
fiftyTwoWeekHigh,2006.45
priceToSalesTrailing12Months,345.27475
fiftyDayAverage,1785.231
twoHundredDayAverage,1830.152
trailingAnnualDividendRate,0.49
trailingAnnualDividendYield,0.00030768264
currency,INR
tradeable,False
enterpriseValue,6593885765632
profitMargins,0.17288
floatShares,3511574347
sharesOutstanding,4143079936
heldPercentInsiders,0.15821
heldPercentInstitutions,0.49743
impliedSharesOutstanding,4202909952
bookValue,2.488
priceToBook,640.17285
lastFiscalYearEnd,1711843200
nextFiscalYearEnd,1743379200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,0.097
netIncomeToCommon,3304000000
trailingEps,68.16
forwardEps,72.32
lastSplitFactor,2:1
lastSplitDate,1536019200
enterpriseToRevenue,345.013
enterpriseToEbitda,1494.534
52WeekChange,0.05547273
SandP52WeekChange,0.086116076
lastDividendValue,21.0
lastDividendDate,1730160000
quoteType,EQUITY
currentPrice,1592.75
targetHighPrice,2350.0
targetLowPrice,1570.0
targetMeanPrice,2048.325
targetMedianPrice,2100.0
recommendationMean,2.05
recommendationKey,buy
numberOfAnalystOpinions,40
totalCash,3596000000
totalCashPerShare,0.868
ebitda,4412000256
totalDebt,960000000
quickRatio,1.848
currentRatio,2.132
totalRevenue,19111999488
debtToEquity,9.27
revenuePerShare,4.615
returnOnAssets,0.15903
returnOnEquity,0.33040002
grossProfits,5665999872
freeCashflow,3050374912
operatingCashflow,4288999936
earningsGrowth,0.073
revenueGrowth,0.059
grossMargins,0.29646
ebitdaMargins,0.23085
operatingMargins,0.2132
financialCurrency,USD
symbol,INFY.NS
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
shortName,INFOSYS LIMITED
longName,Infosys Limited
regularMarketChangePercent,0.012555408
regularMarketPrice,1592.75
marketState,POSTPOST
cryptoTradeable,False
corporateActions,[]
regularMarketTime,1742810399
exchange,NSI
messageBoardId,finmb_398006
exchangeTimezoneName,Asia/Kolkata
exchangeTimezoneShortName,IST
gmtOffSetMilliseconds,19800000
market,in_market
esgPopulated,False
twoHundredDayAverageChangePercent,-0.12971708
sourceInterval,15
exchangeDataDelayedBy,15
averageAnalystRating,2.0 - Buy
hasPrePostMarketData,False
firstTradeDateMilliseconds,820467900000
regularMarketChange,0.19995117
regularMarketDayRange,1572.7 - 1607.1
fullExchangeName,NSE
averageDailyVolume3Month,6328197
fiftyTwoWeekLowChange,234.40002
fiftyTwoWeekLowChangePercent,0.17256232
fiftyTwoWeekRange,1358.35 - 2006.45
fiftyTwoWeekHighChange,-413.69995
fiftyTwoWeekHighChangePercent,-0.20618503
fiftyTwoWeekChangePercent,5.547273
earningsTimestamp,1744885800
earningsTimestampStart,1744885800
earningsTimestampEnd,1744885800
earningsCallTimestampStart,1744887540
earningsCallTimestampEnd,1744887540
isEarningsDateEstimate,False
epsTrailingTwelveMonths,68.16
epsForward,72.32
epsCurrentYear,63.85658
priceEpsCurrentYear,24.942614
fiftyDayAverageChange,-192.48096
fiftyDayAverageChangePercent,-0.10781852
twoHundredDayAverageChange,-237.40198
trailingPegRatio,2.0662
