,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Investmentin Financial Assets,1105000000.0,1189000000.0,1340000000.0,1538000000.0,,1522000000.0,
Held To Maturity Securities,,,,211000000.0,,212000000.0,215000000.0
Available For Sale Securities,,,,1252000000.0,,1239000000.0,1262000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,75000000.0,,71000000.0,71000000.0
Goodwill And Other Intangible Assets,1508000000.0,1604000000.0,1055000000.0,1042000000.0,1075000000.0,,
Other Intangible Assets,,,,167000000.0,,186000000.0,200000000.0
Goodwill,,,,875000000.0,,872000000.0,882000000.0
Net PPE,2183000000.0,2284000000.0,2285000000.0,2323000000.0,2375000000.0,,
Accumulated Depreciation,,,,-2180000000.0,,-2113000000.0,-2076000000.0
Gross PPE,,,2285000000.0,4503000000.0,,4537000000.0,4573000000.0
Construction In Progress,,,,54000000.0,,77000000.0,61000000.0
Other Properties,,,2285000000.0,,,,
Machinery Furniture Equipment,,,,2399000000.0,,2367000000.0,2379000000.0
Buildings And Improvements,,,,1807000000.0,,1847000000.0,1884000000.0
Land And Improvements,,,,243000000.0,,246000000.0,249000000.0
Properties,,,,0.0,,0.0,0.0
Current Assets,10238000000.0,10684000000.0,11518000000.0,10722000000.0,9292000000.0,,
Other Current Assets,1428000000.0,1817000000.0,1882000000.0,21000000.0,1425000000.0,,
Hedging Assets Current,,,,10000000.0,,20000000.0,21000000.0
Current Deferred Assets,,,,67000000.0,,87000000.0,104000000.0
Restricted Cash,,,1394000000.0,,,,885000000.0
Prepaid Assets,,,,755000000.0,,706000000.0,718000000.0
Receivables,5214000000.0,5379000000.0,5220000000.0,6436000000.0,5269000000.0,,
Other Receivables,1318000000.0,1559000000.0,1511000000.0,1531000000.0,1589000000.0,,
Taxes Receivable,,,,1191000000.0,,353000000.0,364000000.0
Accrued Interest Receivable,,,,64000000.0,,56000000.0,41000000.0
Loans Receivable,,,,30000000.0,,30000000.0,33000000.0
Accounts Receivable,3896000000.0,3820000000.0,3709000000.0,3620000000.0,3680000000.0,,
Allowance For Doubtful Accounts Receivable,,,,-86000000.0,,,
Gross Accounts Receivable,,,,3706000000.0,,,
Cash Cash Equivalents And Short Term Investments,3596000000.0,3488000000.0,3022000000.0,3433000000.0,2598000000.0,,
Other Short Term Investments,933000000.0,887000000.0,1051000000.0,1660000000.0,958000000.0,,
Cash And Cash Equivalents,2663000000.0,2601000000.0,1971000000.0,1773000000.0,1640000000.0,,
Cash Equivalents,,,,0.0,,1000000.0,238000000.0
Cash Financial,,,,1773000000.0,,1891000000.0,1263000000.0
