,Value
totalCash,590460026880
totalCashPerShare,163.197
ebitda,657890017280
totalDebt,93510000640
quickRatio,2.415
currentRatio,2.624
totalRevenue,2520819957760
debtToEquity,8.469
revenuePerShare,696.717
returnOnAssets,0.24497999
returnOnEquity,0.48668998
grossProfits,974569996288
freeCashflow,346417496064
operatingCashflow,463800008704
earningsGrowth,0.13
revenueGrowth,0.056
grossMargins,0.38661
ebitdaMargins,0.26098
operatingMargins,0.24474001
financialCurrency,INR
symbol,TCS.NS
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
regularMarketChangePercent,1.4211411
regularMarketPrice,3628.95
shortName,TATA CONSULTANCY SERV LT
longName,Tata Consultancy Services Limited
hasPrePostMarketData,False
firstTradeDateMilliseconds,1029123900000
regularMarketChange,50.849854
regularMarketDayRange,3566.6 - 3649.75
fullExchangeName,NSE
averageDailyVolume3Month,2338962
fiftyTwoWeekLowChange,171.94995
fiftyTwoWeekLowChangePercent,0.049739644
fiftyTwoWeekRange,3457.0 - 4592.25
fiftyTwoWeekHighChange,-963.30005
fiftyTwoWeekHighChangePercent,-0.20976646
fiftyTwoWeekChangePercent,-8.509552
earningsTimestamp,1736418600
earningsTimestampStart,1744281000
earningsTimestampEnd,1744626600
earningsCallTimestampStart,1736429400
earningsCallTimestampEnd,1736429400
isEarningsDateEstimate,True
epsTrailingTwelveMonths,134.89
epsForward,154.68
epsCurrentYear,136.19955
priceEpsCurrentYear,26.64436
fiftyDayAverageChange,-217.37793
fiftyDayAverageChangePercent,-0.056515705
twoHundredDayAverageChange,-499.865
twoHundredDayAverageChangePercent,-0.12106743
sourceInterval,15
exchangeDataDelayedBy,15
averageAnalystRating,2.2 - Buy
cryptoTradeable,False
corporateActions,[]
regularMarketTime,1742810399
exchange,NSI
messageBoardId,finmb_6411769
exchangeTimezoneName,Asia/Kolkata
exchangeTimezoneShortName,IST
gmtOffSetMilliseconds,19800000
market,in_market
esgPopulated,False
marketState,POSTPOST
trailingPegRatio,1.6823
