,Value
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Gautambhai Shantilal Adani S.Y. B.Com', 'age': 62, 'title': 'Executive Chairman', 'yearBorn': 1962, 'fiscalYear': 2024, 'totalPay': 24600000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jugeshinder  Singh', 'title': 'Chief Financial Officer', 'fiscalYear': 2024, 'totalPay': 97400000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jatinkumar  Jalundhwala B.Com LLB FCS', 'age': 64, 'title': 'Joint President of Legal, Compliance Officer & Company Secretary', 'yearBorn': 1960, 'fiscalYear': 2024, 'totalPay': 36700000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rajeshbhai Shantilal Adani B.Com.', 'age': 60, 'title': 'MD of AEL & Director', 'yearBorn': 1964, 'fiscalYear': 2024, 'totalPay': 83700000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vinay Prakash Goel', 'age': 51, 'title': 'Chief Executive Officer of Natural Resources', 'yearBorn': 1973, 'fiscalYear': 2024, 'totalPay': 893700000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Pranav Vinodbhai Adani', 'age': 46, 'title': 'MD of Agro, Oil & Gas and Executive Director', 'yearBorn': 1978, 'fiscalYear': 2024, 'totalPay': 64600000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Varsha  Chainani', 'title': 'Head of Corporate Communications', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Malay Rameshchandra Mahadevia', 'age': 61, 'title': 'Group Director of HR', 'yearBorn': 1963, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vneet S. Jaain', 'age': 53, 'title': 'MD of Adani Green Energy Ltd', 'yearBorn': 1971, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sudipta  Bhattacharya', 'age': 57, 'title': 'Chief Transformation Officer', 'yearBorn': 1967, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,10
boardRisk,7
compensationRisk,2
shareHolderRightsRisk,10
overallRisk,8
governanceEpochDate,1740787200
compensationAsOfEpochDate,1735603200
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,2362.8
open,2370.0
dayLow,2361.1
dayHigh,2395.0
regularMarketPreviousClose,2362.8
regularMarketOpen,2370.0
regularMarketDayLow,2361.1
regularMarketDayHigh,2395.0
dividendRate,1.3
dividendYield,0.06
exDividendDate,1718323200
payoutRatio,0.0434
fiveYearAvgDividendYield,0.65
beta,0.984
trailingPE,78.93035
volume,1009984
regularMarketVolume,1009984
averageVolume,1497179
averageVolume10days,1037014
averageDailyVolume10Day,1037014
bid,2368.7
ask,0.0
bidSize,0
askSize,0
marketCap,2734474395648
fiftyTwoWeekLow,2025.0
fiftyTwoWeekHigh,3743.9
priceToSalesTrailing12Months,2.7314997
fiftyDayAverage,2265.865
twoHundredDayAverage,2735.576
trailingAnnualDividendRate,1.3
trailingAnnualDividendYield,0.00055019464
currency,INR
tradeable,False
enterpriseValue,3521605271552
forwardPE,34.54678
profitMargins,0.03701
floatShares,265200534
sharesOutstanding,1154179968
heldPercentInsiders,0.77472997
heldPercentInstitutions,0.14743
impliedSharesOutstanding,1154419968
bookValue,334.151
priceToBook,7.0887113
lastFiscalYearEnd,1711843200
nextFiscalYearEnd,1743379200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,-0.969
netIncomeToCommon,35808100352
trailingEps,30.01
lastSplitFactor,2:1
lastSplitDate,1260403200
enterpriseToRevenue,3.518
enterpriseToEbitda,27.395
52WeekChange,-0.23969495
SandP52WeekChange,0.086116076
lastDividendValue,1.3
lastDividendDate,1718323200
quoteType,EQUITY
currentPrice,2368.7
targetHighPrice,4710.0
targetLowPrice,3000.0
targetMeanPrice,3855.0
targetMedianPrice,3855.0
recommendationKey,none
numberOfAnalystOpinions,2
totalCash,66934398976
totalCashPerShare,57.992
ebitda,128549527552
totalDebt,804272472064
totalRevenue,1001089073152
debtToEquity,168.936
revenuePerShare,843.566
grossProfits,477675487232
earningsGrowth,-0.97
revenueGrowth,-0.088
grossMargins,0.47716
ebitdaMargins,0.12841
operatingMargins,0.10333
financialCurrency,INR
symbol,ADANIENT.NS
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Delayed Quote
triggerable,True
customPriceAlertConfidence,HIGH
marketState,POSTPOST
corporateActions,[]
shortName,ADANI ENTERPRISES LIMITED
regularMarketChangePercent,0.2496996
regularMarketPrice,2368.7
regularMarketTime,1742810399
exchange,NSI
messageBoardId,finmb_883013
exchangeTimezoneName,Asia/Kolkata
exchangeTimezoneShortName,IST
gmtOffSetMilliseconds,19800000
market,in_market
esgPopulated,False
cryptoTradeable,False
longName,Adani Enterprises Limited
hasPrePostMarketData,False
firstTradeDateMilliseconds,1025495100000
regularMarketChange,5.8999023
regularMarketDayRange,2361.1 - 2395.0
fullExchangeName,NSE
averageDailyVolume3Month,1497179
fiftyTwoWeekLowChange,343.69995
fiftyTwoWeekLowChangePercent,0.16972837
fiftyTwoWeekRange,2025.0 - 3743.9
fiftyTwoWeekHighChange,-1375.2
fiftyTwoWeekHighChangePercent,-0.3673175
fiftyTwoWeekChangePercent,-23.969496
earningsTimestamp,1738234740
earningsTimestampStart,1746010740
earningsTimestampEnd,1746446400
earningsCallTimestampStart,1738234740
earningsCallTimestampEnd,1738234740
isEarningsDateEstimate,True
epsTrailingTwelveMonths,30.01
epsCurrentYear,44.6
priceEpsCurrentYear,53.109867
fiftyDayAverageChange,102.83496
fiftyDayAverageChangePercent,0.04538442
twoHundredDayAverageChange,-366.87598
twoHundredDayAverageChangePercent,-0.13411288
sourceInterval,15
exchangeDataDelayedBy,15
trailingPegRatio,
